290843 	-0.172233 	0.583705 	-1.24491 	-1.55888 	1.24379 	
16.705	0.290848 	-0.172238 	0.583722 	-1.25003 	-1.5589 	1.24889 	
16.71	0.290852 	-0.172242 	0.58374 	-1.2551 	-1.55893 	1.25395 	
16.715	0.290855 	-0.172246 	0.583757 	-1.26012 	-1.55895 	1.25895 	
16.72	0.290859 	-0.172251 	0.583773 	-1.26507 	-1.55897 	1.26387 	
16.725	0.290862 	-0.172255 	0.58379 	-1.26991 	-1.55899 	1.2687 	
16.73	0.290864 	-0.17226 	0.583806 	-1.27464 	-1.55901 	1.27341 	
16.735	0.290867 	-0.172264 	0.583821 	-1.27923 	-1.55903 	1.27798 	
16.74	0.290868 	-0.172269 	0.583836 	-1.28362 	-1.55905 	1.28235 	
16.745	0.29087 	-0.172273 	0.58385 	-1.28781 	-1.55907 	1.28653 	
16.75	0.290871 	-0.172278 	0.583863 	-1.29173 	-1.55908 	1.29043 	
16.755	0.290871 	-0.172282 	0.583875 	-1.29538 	-1.5591 	1.29407 	
16.76	0.29087 	-0.172287 	0.583886 	-1.29874 	-1.55911 	1.29741 	
16.765	0.290869 	-0.172291 	0.583897 	-1.30182 	-1.55912 	1.30047 	
16.77	0.290868 	-0.172295 	0.583906 	-1.3046 	-1.55913 	1.30324 	
16.775	0.290866 	-0.172299 	0.583914 	-1.30709 	-1.55914 	1.30571 	
16.78	0.290863 	-0.172303 	0.583922 	-1.30928 	-1.55915 	1.30789 	
16.785	0.29086 	-0.172307 	0.583928 	-1.3112 	-1.55916 	1.30979 	
16.79	0.290857 	-0.172311 	0.583933 	-1.3128 	-1.55917 	1.31138 	
16.795	0.290852 	-0.172315 	0.583937 	-1.31412 	-1.55917 	1.31269 	
16.8	0.290848 	-0.172319 	0.583941 	-1.31515 	-1.55917 	1.31371 	
16.805	0.290843 	-0.172322 	0.583943 	-1.31588 	-1.55918 	1.31442 	
16.81	0.290837 	-0.172326 	0.583944 	-1.31631 	-1.55918 	1.31484 	
16.815	0.290831 	-0.172329 	0.583945 	-1.31644 	-1.55918 	1.31495 	
16.82	0.290825 	-0.172332 	0.583944 	-1.31627 	-1.55918 	1.31477 	
16.825	0.290818 	-0.172335 	0.583942 	-1.31581 	-1.55918 	1.3143 	
16.83	0.290811 	-0.172338 	0.583939 	-1.31507 	-1.55918 	1.31355 	
16.835	0.290804 	-0.172341 	0.583935 	-1.31404 	-1.55917 	1.31251 	
16.84	0.290796 	-0.172344 	0.583931 	-1.31273 	-1.55917 	1.3112 	
16.845	0.290787 	-0.172346 	0.583925 	-1.3111 	-1.55916 	1.30956 	
16.85	0.290779 	-0.172348 	0.583918 	-1.30913 	-1.55915 	1.30758 	
16.855	0.29077 	-0.17235 	0.583909 	-1.30681 	-1.55915 	1.30525 	
16.86	0.290761 	-0.172352 	0.583899 	-1.30416 	-1.55914 	1.3026 	
16.865	0.290751 	-0.172354 	0.583889 	-1.30122 	-1.55913 	1.29966 	
16.87	0.290741 	-0.172355 	0.583877 	-1.29803 	-1.55911 	1.29646 	
16.875	0.290731 	-0.172357 	0.583864 	-1.29461 	-1.5591 	1.29303 	
16.88	0.290721 	-0.172358 	0.583851 	-1.29098 	-1.55909 	1.2894 	
16.885	0.290711 	-0.172359 	0.583837 	-1.28715 	-1.55907 	1.28556 	
16.89	0.2907 	-0.172359 	0.583822 	-1.28308 	-1.55905 	1.2815 	
16.895	0.290689 	-0.17236 	0.583806 	-1.2788 	-1.55904 	1.27722 	
16.9	0.290678 	-0.17236 	0.58379 	-1.27432 	-1.55902 	1.27273 	
16.905	0.290667 	-0.172361 	0.583772 	-1.26965 	-1.559 	1.26806 	
16.91	0.290655 	-0.172361 	0.583754 	-1.26482 	-1.55898 	1.26324 	
16.915	0.290643 	-0.172361 	0.583736 	-1.25986 	-1.55895 	1.25827 	
16.92	0.290632 	-0.172361 	0.583717 	-1.25478 	-1.55893 	1.25319 	
16.925	0.29062 	-0.172361 	0.583697 	-1.24961 	-1.55891 	1.24803 	
16.93	0.290608 	-0.17236 	0.583677 	-1.24439 	-1.55888 	1.24281 	
16.935	0.290597 	-0.17236 	0.583657 	-1.23914 	-1.55886 	1.23755 	
16.94	0.290586 	-0.172359 	0.583637 	-1.23388 	-1.55883 	1.2323 	
16.945	0.290574 	-0.172358 	0.583616 	-1.22864 	-1.55881 	1.22706 	
16.95	0.290564 	-0.172357 	0.583596 	-1.22342 	-1.55878 	1.22185 	
16.955	0.290553 	-0.172356 	0.583575 	-1.21824 	-1.55876 	1.21667 	
16.96	0.290543 	-0.172355 	0.583555 	-1.21312 	-1.55873 	1.21155 	
16.965	0.290533 	-0.172353 	0.583534 	-1.20806 	-1.5587 	1.2065 	
16.97	0.290524 	-0.172351 	0.583514 	-1.20311 	-1.55868 	1.20156 	
16.975	0.290516 	-0.172349 	0.583494 	-1.19831 	-1.55865 	1.19677 	
16.98	0.290508 	-0.172347 	0.583475 	-1.19373 	-1.55863 	1.19219 	
16.985	0.290501 	-0.172345 	0.583456 	-1.18941 	-1.5586 	1.18788 	
16.99	0.290494 	-0.172342 	0.583439 	-1.18538 	-1.55858 	1.18386 	
16.995	0.290489 	-0.17234 	0.583422 	-1.18165 	-1.55856 	1.18013 	
17	0.290484 	-0.172337 	0.583406 	-1.17821 	-1.55854 	1.1767 	
17.005	0.290481 	-0.172335 	0.583392 	-1.17512 	-1.55852 	1.17362 	
17.01	0.290478 	-0.172332 	0.583378 	-1.17239 	-1.5585 	1.1709 	
17.015	0.290476 	-0.172329 	0.583366 	-1.17008 	-1.55849 	1.16859 	
17.02	0.290475 	-0.172326 	0.583356 	-1.1682 	-1.55848 	1.16671 	
17.025	0.290475 	-0.172323 	0.583347 	-1.16675 	-1.55847 	1.16527 	
17.03	0.290476 	-0.17232 	0.58334 	-1.16569 	-1.55846 	1.16423 	
17.035	0.290478 	-0.172317 	0.583334 	-1.16503 	-1.55846 	1.16357 	
17.04	0.290481 	-0.172314 	0.583329 	-1.16474 	-1.55845 	1.16329 	
17.045	0.290484 	-0.172312 	0.583326 	-1.16483 	-1.55845 	1.16338 	
17.05	0.290488 	-0.172309 	0.583325 	-1.16528 	-1.55845 	1.16384 	
17.055	0.290493 	-0.172307 	0.583324 	-1.1661 	-1.55846 	1.16466 	
17.06	0.290498 	-0.172304 	0.583325 	-1.16725 	-1.55846 	1.16582 	
17.065	0.290504 	-0.172302 	0.583327 	-1.16872 	-1.55847 	1.16729 	
17.07	0.290511 	-0.1723 	0.58333 	-1.17047 	-1.55848 	1.16904 	
17.075	0.290518 	-0.172298 	0.583334 	-1.17249 	-1.55849 	1.17106 	
17.08	0.290525 	-0.172296 	0.58334 	-1.17477 	-1.5585 	1.17334 	
17.085	0.290532 	-0.172295 	0.583346 	-1.17729 	-1.55852 	1.17586 	
17.09	0.29054 	-0.172293 	0.583353 	-1.18005 	-1.55853 	1.17863 	
17.095	0.290549 	-0.172292 	0.583361 	-1.18303 	-1.55855 	1.1816 	
17.1	0.290557 	-0.17229 	0.583369 	-1.18623 	-1.55856 	1.1848 	
17.105	0.290566 	-0.172289 	0.583379 	-1.18963 	-1.55858 	1.1882 	
17.11	0.290575 	-0.172288 	0.583389 	-1.19323 	-1.5586 	1.1918 	
17.115	0.290584 	-0.172288 	0.5834 	-1.19698 	-1.55862 	1.19555 	
17.12	0.290593 	-0.172287 	0.583411 	-1.20086 	-1.55864 	1.19942 	
17.125	0.290603 	-0.172286 	0.583422 	-1.20484 	-1.55866 	1.2034 	
17.13	0.290612 	-0.172286 	0.583434 	-1.2089 	-1.55868 	1.20745 	
17.135	0.290621 	-0.172285 	0.583446 	-1.21302 	-1.5587 	1.21157 	
17.14	0.29063 	-0.172285 	0.583458 	-1.21719 	-1.55872 	1.21574 	
17.145	0.290639 	-0.172285 	0.583471 	-1.22141 	-1.55874 	1.21996 	
17.15	0.290648 	-0.172285 	0.583483 	-1.22565 	-1.55876 	1.22419 	
17.155	0.290657 	-0.172285 	0.583496 	-1.22989 	-1.55878 	1.22842 	
17.16	0.290666 	-0.172285 	0.583508 	-1.23413 	-1.5588 	1.23265 	
17.165	0.290674 	-0.172286 	0.583521 	-1.23836 	-1.55882 	1.23688 	
17.17	0.290682 	-0.172286 	0.583533 	-1.24259 	-1.55884 	1.2411 	
17.175	0.29069 	-0.172287 	0.583546 	-1.2468 	-1.55886 	1.24531 	
17.18	0.290698 	-0.172287 	0.583558 	-1.25098 	-1.55888 	1.24948 	
17.185	0.290705 	-0.172288 	0.58357 	-1.2551 	-1.5589 	1.25359 	
17.19	0.290713 	-0.172289 	0.583582 	-1.25916 	-1.55891 	1.25765 	
17.195	0.29072 	-0.17229 	0.583594 	-1.26314 	-1.55893 	1.26161 	
17.2	0.290726 	-0.172291 	0.583605 	-1.26702 	-1.55895 	1.26549 	
17.205	0.290732 	-0.172292 	0.583616 	-1.27078 	-1.55896 	1.26924 	
17.21	0.290738 	-0.172294 	0.583627 	-1.27441 	-1.55898 	1.27286 	
17.215	0.290743 	-0.172295 	0.583637 	-1.27787 	-1.55899 	1.27632 	
17.22	0.290748 	-0.172296 	0.583646 	-1.28119 	-1.559 	1.27962 	
17.225	0.290753 	-0.172298 	0.583655 	-1.28435 	-1.55902 	1.28278 	
17.23	0.290757 	-0.1723 	0.583664 	-1.28737 	-1.55903 	1.28579 	
17.235	0.29076 	-0.172301 	0.583672 	-1.29024 	-1.55904 	1.28865 	
17.24	0.290764 	-0.172303 	0.583679 	-1.29295 	-1.55905 	1.29135 	
17.245	0.290766 	-0.172305 	0.583687 	-1.2955 	-1.55906 	1.29389 	
17.25	0.290769 	-0.172307 	0.583693 	-1.2979 	-1.55907 	1.29628 	
17.255	0.29077 	-0.172309 	0.583699 	-1.30019 	-1.55908 	1.29856 	
17.26	0.290772 	-0.172311 	0.583706 	-1.3024 	-1.55908 	1.30076 	
